order_issue,voc_theme,user_voice,refund_amt,refund_qty
"平台:AMZ, 国家:US, 原因:SIZE",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",35.19,2
"平台:AMZ, 国家:UK, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),17.85,2
"平台:AMZ, 国家:UK, 原因:QUALITY, 部分退款",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",50.77,2
"平台:DTC, 国家:DE, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",30.23,2
"平台:DTC, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",73.03,2
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),46.0,1
"平台:AMZ, 国家:UK, 原因:QUALITY, 部分退款",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",56.07,1
"平台:DTC, 国家:DE, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",65.16,2
"平台:DTC, 国家:DE, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",28.46,2
"平台:AMZ, 国家:DE, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,43.85,1
"平台:AMZ, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",68.12,1
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",74.09,1
"平台:AMZ, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),48.91,1
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),49.71,1
"平台:AMZ, 国家:US, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),29.43,1
"平台:AMZ, 国家:UK, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,11.75,1
"平台:AMZ, 国家:FR, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),25.84,1
"平台:AMZ, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),73.57,2
"平台:AMZ, 国家:US, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),41.49,1
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),40.15,2
"平台:DTC, 国家:DE, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",55.73,2
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",48.9,1
"平台:DTC, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),33.9,2
"平台:AMZ, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",25.94,1
"平台:AMZ, 国家:US, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",48.61,2
"平台:DTC, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),22.79,1
"平台:DTC, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),37.69,1
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",28.35,1
"平台:AMZ, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,74.51,1
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",63.82,1
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),37.51,2
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",75.18,1
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),52.69,1
"平台:AMZ, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",28.85,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",35.74,1
"平台:AMZ, 国家:UK, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),46.2,2
"平台:DTC, 国家:DE, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",77.51,2
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",72.26,1
"平台:AMZ, 国家:FR, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),66.93,1
"平台:DTC, 国家:DE, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),15.36,1
"平台:DTC, 国家:DE, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",47.74,2
"平台:DTC, 国家:US, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),13.33,2
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),47.77,1
"平台:AMZ, 国家:US, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),19.49,1
"平台:AMZ, 国家:UK, 原因:QUALITY, 部分退款",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",12.3,1
"平台:DTC, 国家:FR, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",63.24,1
"平台:DTC, 国家:FR, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),60.17,1
"平台:DTC, 国家:FR, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),54.06,2
"平台:DTC, 国家:FR, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",72.25,1
"平台:DTC, 国家:FR, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),75.22,1
"平台:DTC, 国家:FR, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",66.67,1
"平台:DTC, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,65.6,1
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",76.16,1
"平台:DTC, 国家:DE, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),72.24,1
"平台:AMZ, 国家:FR, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",25.4,1
"平台:DTC, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",58.89,1
"平台:DTC, 国家:UK, 原因:COLOR",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),36.63,1
"平台:DTC, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),67.78,2
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),78.67,2
"平台:AMZ, 国家:DE, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",44.0,1
"平台:AMZ, 国家:DE, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",19.64,2
"平台:AMZ, 国家:DE, 原因:COLOR, 部分退款",颜色/外观,[AMZ DE] Farbe sieht anders aus als auf dem Foto. Sehr enttäuscht. (⭐1),39.24,1
"平台:AMZ, 国家:DE, 原因:COLOR",颜色/外观,[AMZ DE] Farbe sieht anders aus als auf dem Foto. Sehr enttäuscht. (⭐1),35.42,2
"平台:AMZ, 国家:FR, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,52.59,2
"平台:AMZ, 国家:AU, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),60.66,1
"平台:AMZ, 国家:AU, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),12.94,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),60.87,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",11.23,1
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),59.97,1
"平台:AMZ, 国家:US, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),12.8,2
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",24.19,1
"平台:AMZ, 国家:FR, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,67.27,2
"平台:AMZ, 国家:FR, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),12.66,1
"平台:AMZ, 国家:DE, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),40.73,2
"平台:DTC, 国家:UK, 原因:QUALITY, 部分退款",产品质量,"[AMZ UK] Excellent quality, worth the price! (⭐5)",40.17,1
"平台:DTC, 国家:UK, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",56.12,2
"平台:DTC, 国家:US, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",65.03,1
"平台:AMZ, 国家:US, 原因:NO_REASON",无理由退货,暂无VOC匹配数据,32.83,1
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",36.86,2
"平台:AMZ, 国家:US, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),25.97,2
"平台:AMZ, 国家:US, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",30.98,1
"平台:AMZ, 国家:US, 原因:SIZE",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",16.78,1
"平台:AMZ, 国家:UK, 原因:DEFECTIVE",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),24.81,1
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",16.92,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),39.76,1
"平台:AMZ, 国家:DE, 原因:COLOR",颜色/外观,[AMZ DE] Farbe sieht anders aus als auf dem Foto. Sehr enttäuscht. (⭐1),20.89,2
"平台:AMZ, 国家:US, 原因:QUALITY",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",20.43,1
"平台:AMZ, 国家:US, 原因:COLOR, 部分退款",颜色/外观,[AMZ US] Color is much darker than the pictures shown. Not what I expected. (⭐2),45.77,1
"平台:AMZ, 国家:UK, 原因:SHIPPING",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",50.4,1
"平台:AMZ, 国家:UK, 原因:SIZE, 部分退款",尺码问题,"[AMZ UK] True to size, very comfortable! (⭐5)",45.71,1
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",54.53,1
"平台:DTC, 国家:US, 原因:NOT_AS_DESCRIBED",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),45.28,2
"平台:AMZ, 国家:US, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),42.76,1
"平台:AMZ, 国家:US, 原因:SHIPPING, 部分退款",物流配送,"[AMZ US] Package was damaged during shipping, product was exposed. (⭐1)",58.64,1
"平台:DTC, 国家:US, 原因:SIZE, 部分退款",尺码问题,"[AMZ US] The size runs very small, ordered M but fits like XS. Very disappointed. (⭐2)",51.86,1
"平台:DTC, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",38.59,2
"平台:AMZ, 国家:UK, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,42.77,2
"平台:DTC, 国家:FR, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),57.11,2
"平台:DTC, 国家:FR, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,20.12,2
"平台:DTC, 国家:FR, 原因:NOT_AS_DESCRIBED, 部分退款",描述不符,[AMZ US] Product looks completely different from listing. False advertising! (⭐1),17.36,1
"平台:AMZ, 国家:US, 原因:QUALITY, 部分退款",产品质量,"[AMZ US] Material feels cheap, stitching came loose after 2 uses. (⭐2)",20.74,2
"平台:DTC, 国家:UK, 原因:DEFECTIVE, 部分退款",产品缺陷,[AMZ US] Motor stopped working after one week. Defective product! (⭐1),51.23,1
"平台:DTC, 国家:US, 原因:NO_REASON, 部分退款",无理由退货,暂无VOC匹配数据,36.48,2
